Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,SEO title,SEO description
Jasmine Rice 5kg,jasmine-rice-5kg,Premium quality Thai Jasmine Rice. Fragrant long-grain rice perfect for everyday meals.,PinoyPantry,"Food & Beverage > Food Items > Grains, Rice & Cereal > Rice",Rice & Grains,"rice, staple, jasmine, grains, essential, rice-grains",TRUE,active,RICE-JAS-5KG,,Title,Default Title,12.99,14.99,8.50,TRUE,shopify,100,deny,5000,g,TRUE,manual,Jasmine Rice 5kg,Premium quality Thai Jasmine Rice
Sinandomeng Rice 10kg,sinandomeng-rice-10kg,Premium Philippine Sinandomeng Rice. Long-grain rice perfect for Filipino dishes.,PinoyPantry,"Food & Beverage > Food Items > Grains, Rice & Cereal > Rice",Rice & Grains,"rice, sinandomeng, philippine, grains, essential, bestseller, rice-grains",TRUE,active,RICE-SIN-10KG,,Title,Default Title,24.99,27.99,16.00,TRUE,shopify,75,deny,10000,g,TRUE,manual,Sinandomeng Rice 10kg,Premium Philippine Sinandomeng Rice
Malagkit Glutinous Rice 2kg,malagkit-rice-2kg,Authentic Filipino glutinous rice for traditional desserts like suman and biko.,PinoyPantry,"Food & Beverage > Food Items > Grains, Rice & Cereal > Rice",Rice & Grains,"rice, glutinous, malagkit, dessert, sticky-rice, rice-grains",TRUE,active,RICE-MAL-2KG,,Title,Default Title,8.99,9.99,5.50,TRUE,shopify,50,deny,2000,g,TRUE,manual,Malagkit Glutinous Rice 2kg,Authentic Filipino glutinous rice
SPAM Classic 340g,spam-classic-340g,Iconic luncheon meat loved by Filipinos. Perfect for breakfast with eggs and garlic rice.,Hormel,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"spam, canned-meat, breakfast, bestseller, canned-goods",TRUE,active,CAN-SPAM-340,,Title,Default Title,4.99,5.99,3.20,TRUE,shopify,150,deny,340,g,TRUE,manual,SPAM Classic 340g,Iconic luncheon meat
Argentina Corned Beef 175g,corned-beef-argentina,Premium quality corned beef. A Filipino breakfast favorite.,Purefoods,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"corned-beef, canned-meat, breakfast, bestseller, canned-goods",TRUE,active,CAN-CRN-175,,Title,Default Title,3.49,3.99,2.10,TRUE,shopify,200,deny,175,g,TRUE,manual,Argentina Corned Beef 175g,Premium corned beef
Century Tuna Flakes in Oil 180g,century-tuna-flakes-180g,Premium tuna flakes in oil. Rich in protein and Omega-3.,Century Pacific,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"tuna, canned-fish, protein, healthy, canned-goods",TRUE,active,CAN-TUN-180,,Title,Default Title,2.99,,1.80,TRUE,shopify,180,deny,180,g,TRUE,manual,Century Tuna Flakes 180g,Premium tuna flakes
Ligo Sardines in Tomato Sauce 155g,sardines-tomato-sauce,Tasty sardines in rich tomato sauce. Great with hot rice.,Ligo,Food & Beverage > Food Items > Meat & Seafood,Canned Goods,"sardines, canned-fish, quick-meal, affordable, canned-goods",TRUE,active,CAN-SAR-155,,Title,Default Title,1.99,2.49,1.20,TRUE,shopify,220,deny,155,g,TRUE,manual,Ligo Sardines 155g,Tasty sardines
Aroy-D Coconut Milk 400ml,coconut-milk-400ml,Premium coconut milk for Filipino dishes like ginataan and kare-kare.,Aroy-D,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"coconut-milk, cooking, ingredient, essential, cooking-ingredients",TRUE,active,ING-COC-400,,Title,Default Title,2.49,2.99,1.50,TRUE,shopify,150,deny,400,ml,TRUE,manual,Aroy-D Coconut Milk 400ml,Premium coconut milk
Coconut Cream 200ml,coconut-cream-200ml,Thick and creamy coconut cream. Perfect for desserts and rich curries.,Chaokoh,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"coconut-cream, cooking, dessert, ingredient, cooking-ingredients",TRUE,active,ING-CRM-200,,Title,Default Title,2.99,,1.80,TRUE,shopify,100,deny,200,ml,TRUE,manual,Coconut Cream 200ml,Thick creamy coconut cream
UFC Banana Ketchup 320g,ufc-banana-ketchup,Original Filipino-style banana ketchup! Sweet and tangy.,UFC,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"ketchup, banana-ketchup, condiment, filipino-favorite, bestseller, sauces-condiments",TRUE,active,SAU-BAN-320,,Title,Default Title,2.99,3.49,1.50,TRUE,shopify,180,deny,320,g,TRUE,manual,UFC Banana Ketchup 320g,Original Filipino banana ketchupDatu Puti Soy Sauce 1L,datu-puti-soy-sauce,Premium Filipino soy sauce. Essential for adobo and many Filipino dishes.,NutriAsia,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"soy-sauce, condiment, essential, cooking, sauces-condiments",TRUE,active,SAU-SOY-1L,,Title,Default Title,3.99,4.49,2.20,TRUE,shopify,120,deny,1000,ml,TRUE,manual,Datu Puti Soy Sauce 1L,Premium Filipino soy sauce
Datu Puti Vinegar 1L,datu-puti-vinegar,Filipino cane vinegar. A must-have for adobo and as a dipping sauce.,NutriAsia,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"vinegar, condiment, essential, cooking, sauces-condiments",TRUE,active,SAU-VIN-1L,,Title,Default Title,2.99,3.49,1.80,TRUE,shopify,130,deny,1000,ml,TRUE,manual,Datu Puti Vinegar 1L,Filipino cane vinegar
Silver Swan Soy Sauce 385ml,silver-swan-soy-sauce,Classic Filipino soy sauce with a naturally brewed flavor.,NutriAsia,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"soy-sauce, condiment, cooking, marinating, sauces-condiments",TRUE,active,SAU-SS-385,,Title,Default Title,2.49,2.99,1.40,TRUE,shopify,140,deny,385,ml,TRUE,manual,Silver Swan Soy Sauce 385ml,Classic Filipino soy sauce
Mang Tomas Sauce 330g,mang-tomas-sauce,The legendary lechon sauce! Perfect for roasted meats.,UFC,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"lechon-sauce, dipping-sauce, condiment, bestseller, sauces-condiments",TRUE,active,SAU-MT-330,,Title,Default Title,3.49,3.99,2.00,TRUE,shopify,100,deny,330,g,TRUE,manual,Mang Tomas Sauce 330g,Legendary lechon sauce
Papa Banana Catsup 320g,papa-banana-ketchup,Sweet Filipino-style banana ketchup. A household favorite.,NutriAsia,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"ketchup, banana-ketchup, condiment, sweet, sauces-condiments",TRUE,active,SAU-PAP-320,,Title,Default Title,2.79,,1.40,TRUE,shopify,160,deny,320,g,TRUE,manual,Papa Banana Catsup 320g,Sweet Filipino banana ketchup
Lucky Me Pancit Canton Original 60g,lucky-me-pancit-canton-original,#1 instant pancit canton in the Philippines!,Monde Nissin,Food & Beverage > Food Items > Noodles & Pasta,Instant Noodles,"instant-noodles, pancit-canton, quick-meal, bestseller, instant-noodles",TRUE,active,NOD-PC-ORI-60,,Title,Default Title,0.79,0.99,0.35,TRUE,shopify,500,deny,60,g,TRUE,manual,Lucky Me Pancit Canton Original 60g,#1 instant pancit canton
Lucky Me Pancit Canton Chilimansi 60g,lucky-me-pancit-canton-chilimansi,Spicy and tangy chilimansi flavor!,Monde Nissin,Food & Beverage > Food Items > Noodles & Pasta,Instant Noodles,"instant-noodles, pancit-canton, spicy, bestseller, instant-noodles",TRUE,active,NOD-PC-CHI-60,,Title,Default Title,0.79,0.99,0.35,TRUE,shopify,500,deny,60,g,TRUE,manual,Lucky Me Pancit Canton Chilimansi 60g,Spicy tangy chilimansi
Lucky Me Pancit Canton Calamansi 60g,lucky-me-pancit-canton-calamansi,Fresh calamansi flavor! Light citrusy and delicious.,Monde Nissin,Food & Beverage > Food Items > Noodles & Pasta,Instant Noodles,"instant-noodles, pancit-canton, calamansi, instant-noodles",TRUE,active,NOD-PC-CAL-60,,Title,Default Title,0.79,0.99,0.35,TRUE,shopify,400,deny,60,g,TRUE,manual,Lucky Me Pancit Canton Calamansi 60g,Fresh calamansi flavored
Lucky Me Instant Mami Beef 55g,lucky-me-instant-mami-beef,Hearty beef-flavored instant noodle soup.,Monde Nissin,Food & Beverage > Food Items > Noodles & Pasta,Instant Noodles,"instant-noodles, soup, beef, comfort-food, instant-noodles",TRUE,active,NOD-MAM-BEF-55,,Title,Default Title,0.69,0.89,0.30,TRUE,shopify,450,deny,55,g,TRUE,manual,Lucky Me Instant Mami Beef 55g,Hearty beef instant noodle soup
Lucky Me Instant Mami Chicken 55g,lucky-me-instant-mami-chicken,Classic chicken-flavored instant noodle soup.,Monde Nissin,Food & Beverage > Food Items > Noodles & Pasta,Instant Noodles,"instant-noodles, soup, chicken, comfort-food, instant-noodles",TRUE,active,NOD-MAM-CHK-55,,Title,Default Title,0.69,0.89,0.30,TRUE,shopify,450,deny,55,g,TRUE,manual,Lucky Me Instant Mami Chicken 55g,Classic chicken instant soup
Nissin Cup Noodles Seafood 60g,nissin-cup-noodles-seafood,Convenient cup noodles with rich seafood flavor.,Nissin,Food & Beverage > Food Items > Noodles & Pasta,Instant Noodles,"cup-noodles, instant, seafood, convenient, instant-noodles",TRUE,active,NOD-CUP-SEA-60,,Title,Default Title,1.49,1.79,0.70,TRUE,shopify,300,deny,60,g,TRUE,manual,Nissin Cup Noodles Seafood 60g,Convenient seafood cup noodles
Boy Bawang Cornick Garlic 100g,boy-bawang-cornick-garlic,The legendary Filipino corn snack!,KSK,Food & Beverage > Snack Foods,Snacks & Sweets,"cornick, snack, garlic, bestseller, filipino-favorite, snacks-sweets",TRUE,active,SNK-BB-GAR-100,,Title,Default Title,2.49,2.99,1.20,TRUE,shopify,300,deny,100,g,TRUE,manual,Boy Bawang Cornick Garlic 100g,Legendary Filipino garlic corn snack
Boy Bawang Adobo Flavor 100g,boy-bawang-adobo,Boy Bawang with authentic Filipino adobo flavor!,KSK,Food & Beverage > Snack Foods,Snacks & Sweets,"cornick, snack, adobo, bestseller, snacks-sweets",TRUE,active,SNK-BB-ADB-100,,Title,Default Title,2.49,2.99,1.20,TRUE,shopify,280,deny,100,g,TRUE,manual,Boy Bawang Adobo 100g,Boy Bawang with authentic adobo flavor
Clover Chips BBQ 85g,clover-chips-bbq,Classic Filipino corn chips with BBQ flavor.,Leslies,Food & Beverage > Snack Foods,Snacks & Sweets,"chips, snack, bbq, corn-chips, filipino-favorite, snacks-sweets",TRUE,active,SNK-CLO-BBQ-85,,Title,Default Title,1.99,2.29,0.90,TRUE,shopify,250,deny,85,g,TRUE,manual,Clover Chips BBQ 85g,Classic Filipino BBQ corn chips
Chippy Chili Cheese 110g,chippy-chili-cheese,The ultimate Filipino corn chip!,Jack n Jill,Food & Beverage > Snack Foods,Snacks & Sweets,"chips, snack, spicy, cheese, bestseller, snacks-sweets",TRUE,active,SNK-CHP-CHZ-110,,Title,Default Title,2.29,2.59,1.00,TRUE,shopify,280,deny,110,g,TRUE,manual,Chippy Chili Cheese 110g,Spicy chili cheese corn chips
Piattos Cheese 85g,piattos-cheese,Premium hexagonal potato crisps with rich cheese flavor.,Jack n Jill,Food & Beverage > Snack Foods,Snacks & Sweets,"chips, potato-chips, cheese, premium, bestseller, snacks-sweets",TRUE,active,SNK-PIA-CHZ-85,,Title,Default Title,2.49,2.79,1.10,TRUE,shopify,260,deny,85,g,TRUE,manual,Piattos Cheese 85g,Premium hexagonal cheese potato crisps
Nova Multigrain Snack 78g,nova-multigrain-snack,Crunchy multigrain snack with savory BBQ flavor.,Rebisco,Food & Beverage > Snack Foods,Snacks & Sweets,"snack, multigrain, bbq, crunchy, bestseller, snacks-sweets",TRUE,active,SNK-NOV-MLT-78,,Title,Default Title,1.99,2.29,0.85,TRUE,shopify,240,deny,78,g,TRUE,manual,Nova Multigrain Snack 78g,Crunchy BBQ multigrain snack
SkyFlakes Crackers 250g,skyflakes-crackers,The iconic Filipino cracker! Light crispy and lightly salted.,Monde Nissin,Food & Beverage > Snack Foods,Snacks & Sweets,"crackers, snack, light, versatile, bestseller, classic, snacks-sweets",TRUE,active,SNK-SKY-250,,Title,Default Title,2.99,3.29,1.40,TRUE,shopify,200,deny,250,g,TRUE,manual,SkyFlakes Crackers 250g,Iconic Filipino crackers
Fita Crackers 300g,fita-crackers,Premium crackers with a buttery slightly sweet flavor.,Monde Nissin,Food & Beverage > Snack Foods,Snacks & Sweets,"crackers, snack, buttery, tea-time, classic, snacks-sweets",TRUE,active,SNK-FIT-300,,Title,Default Title,3.29,3.59,1.60,TRUE,shopify,180,deny,300,g,TRUE,manual,Fita Crackers 300g,Premium buttery crackers
Cream-O Vanilla 250g,cream-o-vanilla,Filipino favorite sandwich cookies!,Rebisco,Food & Beverage > Snack Foods,Snacks & Sweets,"cookies, sandwich-cookies, vanilla, sweet, bestseller, snacks-sweets",TRUE,active,SNK-CRE-VAN-250,,Title,Default Title,2.99,3.29,1.30,TRUE,shopify,220,deny,250,g,TRUE,manual,Cream-O Vanilla 250g,Filipino favorite vanilla cream sandwich cookiesCream-O Chocolate 250g,cream-o-chocolate,Chocolate cream-filled sandwich cookies.,Rebisco,Food & Beverage > Snack Foods,Snacks & Sweets,"cookies, sandwich-cookies, chocolate, sweet, bestseller, snacks-sweets",TRUE,active,SNK-CRE-CHO-250,,Title,Default Title,2.99,3.29,1.30,TRUE,shopify,220,deny,250,g,TRUE,manual,Cream-O Chocolate 250g,Chocolate cream sandwich cookies
Hansel Mocha Wafers 200g,hansel-mocha,Crispy wafer biscuits with smooth mocha cream filling.,Rebisco,Food & Beverage > Snack Foods,Snacks & Sweets,"wafers, cookies, mocha, coffee-flavor, snacks-sweets",TRUE,active,SNK-HAN-MOC-200,,Title,Default Title,3.49,3.79,1.60,TRUE,shopify,180,deny,200,g,TRUE,manual,Hansel Mocha Wafers 200g,Crispy mocha cream wafers
Oishi Prawn Crackers 60g,oishi-prawn-crackers,Crispy prawn-flavored crackers with real shrimp taste.,Liwayway,Food & Beverage > Snack Foods,Snacks & Sweets,"crackers, prawn, seafood, snack, crunchy, snacks-sweets",TRUE,active,SNK-OIS-PRW-60,,Title,Default Title,1.49,1.79,0.65,TRUE,shopify,260,deny,60,g,TRUE,manual,Oishi Prawn Crackers 60g,Crispy prawn crackers
Dried Pusit Squid 100g,dried-pusit,Premium dried squid strips. Perfect beer companion.,Local,Food & Beverage > Snack Foods,Snacks & Sweets,"dried-squid, pusit, pulutan, seafood, beer-match, snacks-sweets",TRUE,active,SNK-SQD-100,,Title,Default Title,5.99,6.99,3.80,TRUE,shopify,80,deny,100,g,TRUE,manual,Dried Pusit 100g,Premium dried squid Filipino pulutan
Polvoron Pinipig 200g,polvoron-pinipig,Traditional Filipino shortbread cookies with pinipig.,Goldilocks,Food & Beverage > Snack Foods,Snacks & Sweets,"polvoron, dessert, sweet, pinipig, traditional, pasalubong, snacks-sweets",TRUE,active,SNK-POL-PIN-200,,Title,Default Title,4.99,5.49,2.80,TRUE,shopify,120,deny,200,g,TRUE,manual,Polvoron Pinipig 200g,Traditional Filipino shortbread with pinipig
7D Dried Mangoes 100g,dried-mangoes,Premium Philippine dried mangoes from Cebu.,7D,Food & Beverage > Snack Foods,Snacks & Sweets,"dried-fruit, mango, sweet, pasalubong, bestseller, premium, snacks-sweets",TRUE,active,SNK-DRM-100,,Title,Default Title,4.99,5.49,2.80,TRUE,shopify,200,deny,100,g,TRUE,manual,7D Dried Mangoes 100g,Premium Philippine dried mangoes
Calamansi Concentrate 500ml,calamansi-juice-concentrate,Pure calamansi juice concentrate.,Afamosa,Food & Beverage > Beverages,Beverages,"calamansi, juice, concentrate, citrus, refreshing, beverages",TRUE,active,BEV-CAL-500,,Title,Default Title,4.99,5.49,2.50,TRUE,shopify,100,deny,500,ml,TRUE,manual,Calamansi Concentrate 500ml,Pure calamansi juice concentrate
Four Seasons Juice 1L,four-seasons-juice,Tropical fruit juice blend. Refreshing and naturally sweet.,Zest-O,Food & Beverage > Beverages,Beverages,"juice, tropical, fruit-juice, refreshing, sweet, beverages",TRUE,active,BEV-4SE-1L,,Title,Default Title,2.99,3.29,1.50,TRUE,shopify,120,deny,1000,ml,TRUE,manual,Four Seasons Juice 1L,Tropical fruit juice blend
Zest-O Mango Juice 200ml,mango-juice-drink,Real mango juice in a convenient pack.,Zest-O,Food & Beverage > Beverages,Beverages,"juice, mango, tropical, fruit-juice, convenient, beverages",TRUE,active,BEV-MAN-200,,Title,Default Title,1.29,1.49,0.60,TRUE,shopify,200,deny,200,ml,TRUE,manual,Zest-O Mango Juice 200ml,Real mango juice convenient pack
C2 Green Tea Apple 500ml,c2-green-tea-apple,Refreshing green tea with apple flavor. Most popular iced tea!,URC,Food & Beverage > Beverages,Beverages,"green-tea, iced-tea, apple, refreshing, bestseller, beverages",TRUE,active,BEV-C2-APP-500,,Title,Default Title,1.79,1.99,0.80,TRUE,shopify,250,deny,500,ml,TRUE,manual,C2 Green Tea Apple 500ml,Most popular Filipino iced tea
Nescafe 3in1 Original 30 Sticks,nescafe-3in1-original,Instant coffee mix with creamer and sugar.,Nestle,Food & Beverage > Beverages > Coffee,Beverages,"coffee, instant-coffee, 3in1, convenient, bestseller, beverages",TRUE,active,BEV-NES-3IN1-30,,Title,Default Title,7.99,8.99,4.50,TRUE,shopify,150,deny,480,g,TRUE,manual,Nescafe 3in1 Original 30 Sticks,Instant coffee mix Filipino morning staple
Great Taste White Coffee 30 Sticks,great-taste-white,Smooth and creamy white coffee mix. #1 coffee brand.,URC,Food & Beverage > Beverages > Coffee,Beverages,"coffee, instant-coffee, 3in1, white-coffee, bestseller, beverages",TRUE,active,BEV-GT-WHT-30,,Title,Default Title,7.99,8.99,4.50,TRUE,shopify,180,deny,480,g,TRUE,manual,Great Taste White Coffee 30 Sticks,#1 coffee brand Philippines
Kopiko Brown Coffee 30 Sticks,kopiko-brown-coffee,Rich coffee flavor from real coffee beans.,Kopiko,Food & Beverage > Beverages > Coffee,Beverages,"coffee, instant-coffee, strong, aromatic, coffee-lovers, beverages",TRUE,active,BEV-KOP-BRN-30,,Title,Default Title,8.99,9.99,5.00,TRUE,shopify,140,deny,480,g,TRUE,manual,Kopiko Brown Coffee 30 Sticks,Real coffee beans strong aromatic flavor
Milo Chocolate Malt 400g,milo-powder-400g,The energy drink for champions!,Nestle,Food & Beverage > Beverages,Beverages,"milo, chocolate, malt, energy-drink, kids-favorite, bestseller, beverages",TRUE,active,BEV-MIL-400,,Title,Default Title,8.99,9.99,5.50,TRUE,shopify,100,deny,400,g,TRUE,manual,Milo Chocolate Malt 400g,Chocolate malt energy drink Filipino favorite
Ovaltine Chocolate Malt 400g,ovaltine-powder,Nutritious chocolate malt drink. Rich in vitamins and minerals.,Wander,Food & Beverage > Beverages,Beverages,"ovaltine, chocolate, malt, nutritious, family-favorite, beverages",TRUE,active,BEV-OVA-400,,Title,Default Title,8.49,9.49,5.20,TRUE,shopify,90,deny,400,g,TRUE,manual,Ovaltine Chocolate Malt 400g,Nutritious chocolate malt family favorite
Mama Sitas Oyster Sauce 405g,mama-sita-oyster-sauce,Premium oyster sauce for authentic Filipino-Chinese dishes.,Mama Sitas,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"oyster-sauce, condiment, cooking, stir-fry, umami, sauces-condiments",TRUE,active,SAU-OYS-405,,Title,Default Title,3.99,4.49,2.40,TRUE,shopify,120,deny,405,g,TRUE,manual,Mama Sitas Oyster Sauce 405g,Premium oyster sauce
Mama Sitas Adobo Mix 50g,mama-sita-adobo-mix,Authentic adobo seasoning mix. Just add meat and cook!,Mama Sitas,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"adobo, seasoning-mix, cooking, instant, filipino-dish, cooking-ingredients",TRUE,active,MIX-ADB-50,,Title,Default Title,1.99,2.29,0.90,TRUE,shopify,200,deny,50,g,TRUE,manual,Mama Sitas Adobo Mix 50g,Authentic Filipino adobo seasoning mix
Mama Sitas Sinigang Mix 50g,mama-sita-sinigang-mix,Authentic sinigang sa sampalok mix.,Mama Sitas,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"sinigang, seasoning-mix, cooking, tamarind, filipino-dish, bestseller, cooking-ingredients",TRUE,active,MIX-SIN-50,,Title,Default Title,1.99,2.29,0.90,TRUE,shopify,220,deny,50,g,TRUE,manual,Mama Sitas Sinigang Mix 50g,Authentic tamarind sinigang mix
Knorr Sinigang Mix 40g,knorr-sinigang-mix,Classic tamarind-based sinigang mix.,Knorr,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"sinigang, seasoning-mix, tamarind, cooking, filipino-dish, cooking-ingredients",TRUE,active,MIX-KSIN-40,,Title,Default Title,1.49,1.79,0.70,TRUE,shopify,240,deny,40,g,TRUE,manual,Knorr Sinigang Mix 40g,Classic tamarind sinigang mix
Magic Sarap 50g,magic-sarap,The magic seasoning granules! Enhances any dish.,Maggi,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"seasoning, umami, all-purpose, cooking, essential, bestseller, cooking-ingredients",TRUE,active,SEA-MAG-50,,Title,Default Title,1.99,2.29,0.80,TRUE,shopify,250,deny,50,g,TRUE,manual,Magic Sarap 50g,Magic seasoning Filipino kitchen essential
Ajinomoto Umami Seasoning 100g,ajinomoto-umami-seasoning,Pure umami seasoning. Enhances natural flavors of food.,Ajinomoto,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"umami, seasoning, flavor-enhancer, cooking, cooking-ingredients",TRUE,active,SEA-AJI-100,,Title,Default Title,2.99,3.29,1.40,TRUE,shopify,180,deny,100,g,TRUE,manual,Ajinomoto Umami Seasoning 100g,Pure umami seasoning flavor enhancer
Lorins Patis Fish Sauce 750ml,fish-sauce-patis,Premium Filipino fish sauce. Essential for authentic cooking.,Lorins,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"fish-sauce, patis, condiment, essential, cooking, sauces-condiments",TRUE,active,SAU-PAT-750,,Title,Default Title,3.99,4.49,2.20,TRUE,shopify,130,deny,750,ml,TRUE,manual,Lorins Patis Fish Sauce 750ml,Premium Filipino fish sauce
Barrio Fiesta Bagoong Alamang 250g,shrimp-paste-bagoong,Authentic Filipino shrimp paste. Sauteed and ready to eat.,Barrio Fiesta,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"bagoong, shrimp-paste, condiment, filipino-favorite, sauces-condiments",TRUE,active,SAU-BAG-250,,Title,Default Title,4.49,4.99,2.60,TRUE,shopify,140,deny,250,g,TRUE,manual,Barrio Fiesta Bagoong Alamang 250g,Authentic Filipino shrimp paste
Mama Sitas Lechon Sauce Mix 57g,lechon-paksiw-mix,Turn leftover lechon into paksiw!,Mama Sitas,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"lechon, sauce-mix, cooking, filipino-dish, leftover-solution, cooking-ingredients",TRUE,active,MIX-LEC-57,,Title,Default Title,2.49,2.79,1.20,TRUE,shopify,100,deny,57,g,TRUE,manual,Mama Sitas Lechon Sauce Mix 57g,Turn leftover lechon into paksiw
Tamarind Paste 200g,tamarind-paste-sampalok,Pure tamarind paste for authentic sinigang.,Local,Food & Beverage > Food Items > Cooking & Baking Ingredients,Cooking Ingredients,"tamarind, sampalok, paste, cooking, souring-agent, cooking-ingredients",TRUE,active,ING-TAM-200,,Title,Default Title,3.99,4.49,2.00,TRUE,shopify,80,deny,200,g,TRUE,manual,Tamarind Paste 200g,Pure tamarind paste for authentic sinigang
Jufran Banana Sauce 320g,banana-ketchup-jufran,Sweet and spicy Filipino banana ketchup with a kick!,NutriAsia,Food & Beverage > Food Items > Condiments & Sauces,Sauces & Condiments,"banana-ketchup, condiment, sweet-spicy, marinade, sauces-condiments",TRUE,active,SAU-JUF-320,,Title,Default Title,2.99,3.49,1.50,TRUE,shopify,160,deny,320,g,TRUE,manual,Jufran Banana Sauce 320g,Sweet and spicy Filipino banana ketchup
