"Title","Handle","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant SKU","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Requires Shipping","Image Src","Status"
"Jasmine Rice 5kg","jasmine-rice-5kg","Premium quality Thai Jasmine Rice. Fragrant long-grain rice perfect for everyday meals.","PinoyPantry","Rice & Grains","rice, staple, jasmine, grains, essential, rice-grains","TRUE","Title","Default Title","RICE-JAS-5KG","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=800&q=80","active"
"Sinandomeng Rice 10kg","sinandomeng-rice-10kg","Premium Philippine Sinandomeng Rice. Long-grain rice perfect for Filipino dishes.","PinoyPantry","Rice & Grains","rice, sinandomeng, philippine, grains, essential, bestseller, rice-grains","TRUE","Title","Default Title","RICE-SIN-10KG","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=800&q=80","active"
"Malagkit Glutinous Rice 2kg","malagkit-rice-2kg","Authentic Filipino glutinous rice for traditional desserts like suman and biko.","PinoyPantry","Rice & Grains","rice, glutinous, malagkit, dessert, sticky-rice, rice-grains","TRUE","Title","Default Title","RICE-MAL-2KG","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1516684732162-798a0062be99?w=800&q=80","active"
"SPAM Classic 340g","spam-classic-340g","Iconic luncheon meat loved by Filipinos. Perfect for breakfast with eggs and garlic rice.","Hormel","Canned Goods","spam, canned-meat, breakfast, bestseller, canned-goods","TRUE","Title","Default Title","CAN-SPAM-340","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1588159343745-445ae0b8ea72?w=800&q=80","active"
"Argentina Corned Beef 175g","corned-beef-argentina","Premium quality corned beef. A Filipino breakfast favorite.","Purefoods","Canned Goods","corned-beef, canned-meat, breakfast, bestseller, canned-goods","TRUE","Title","Default Title","CAN-CRN-175","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1603048588665-791ca8aea617?w=800&q=80","active"
"Century Tuna Flakes in Oil 180g","century-tuna-flakes-180g","Premium tuna flakes in oil. Rich in protein and Omega-3.","Century Pacific","Canned Goods","tuna, canned-fish, protein, healthy, canned-goods","TRUE","Title","Default Title","CAN-TUN-180","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1612198188060-c7c2a3b66eae?w=800&q=80","active"
"Ligo Sardines in Tomato Sauce 155g","sardines-tomato-sauce","Tasty sardines in rich tomato sauce. Great with hot rice.","Ligo","Canned Goods","sardines, canned-fish, quick-meal, affordable, canned-goods","TRUE","Title","Default Title","CAN-SAR-155","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1580554530778-ca36943938b2?w=800&q=80","active"
"Aroy-D Coconut Milk 400ml","coconut-milk-400ml","Premium coconut milk for Filipino dishes like ginataan and kare-kare.","Aroy-D","Cooking Ingredients","coconut-milk, cooking, ingredient, essential, cooking-ingredients","TRUE","Title","Default Title","ING-COC-400","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1598255931218-a1d3e5f6c2a8?w=800&q=80","active"
"Coconut Cream 200ml","coconut-cream-200ml","Thick and creamy coconut cream. Perfect for desserts and rich curries.","Chaokoh","Cooking Ingredients","coconut-cream, cooking, dessert, ingredient, cooking-ingredients","TRUE","Title","Default Title","ING-CRM-200","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1609780447631-05b93e5a88ea?w=800&q=80","active"
"UFC Banana Catsup 320g","banana-catsup-320g","Sweet Filipino-style banana ketchup. Perfect for fried chicken and spaghetti.","UFC","Sauces & Condiments","banana-ketchup, condiment, filipino-style, sweet-sauce, sauces-condiments","TRUE","Title","Default Title","SAU-BAN-320","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1598258022092-85c3c37e5e95?w=800&q=80","active"
"Datu Puti Soy Sauce 385ml","soy-sauce-datu-puti","Premium Filipino soy sauce. Essential for adobo and marinades.","Nutri-Asia","Sauces & Condiments","soy-sauce, condiment, filipino-cooking, essential, sauces-condiments","TRUE","Title","Default Title","SAU-SOY-385","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1562843105-17e50dad8e30?w=800&q=80","active"
"Mama Sitas Oyster Sauce 405g","oyster-sauce-mama-sita","Authentic Filipino oyster sauce for stir-fries and noodles.","Mama Sita","Sauces & Condiments","oyster-sauce, stir-fry, condiment, cooking, sauces-condiments","TRUE","Title","Default Title","SAU-OYS-405","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1575219119466-ea1b161aa669?w=800&q=80","active"
"Lucky Me Pancit Canton Original 60g","pancit-canton-original","Classic Filipino instant noodles. Ready in minutes!","Lucky Me","Instant Noodles","noodles, instant, bestseller, quick-meal, instant-noodles","TRUE","Title","Default Title","NOO-PAN-60","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=800&q=80","active"
"Lucky Me Pancit Canton Chilimansi 60g","pancit-canton-chilimansi","Zesty chili-calamansi flavored instant noodles.","Lucky Me","Instant Noodles","noodles, instant, spicy, filipino-flavor, instant-noodles","TRUE","Title","Default Title","NOO-PAN-CHI-60","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=800&q=80","active"
"Nissin Cup Noodles Seafood 70g","nissin-cup-noodles-seafood","Convenient cup noodles with seafood flavor.","Nissin","Instant Noodles","noodles, cup-noodles, instant, seafood, instant-noodles","TRUE","Title","Default Title","NOO-CUP-SEA-70","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1588136732184-c6f359e55d91?w=800&q=80","active"
"Boy Bawang Cornick Garlic 100g","boy-bawang-garlic-100g","Crunchy Filipino corn snacks with garlic flavor. Addictively delicious!","Boy Bawang","Snacks & Sweets","snacks, corn-nuts, garlic, crunchy, bestseller, snacks-sweets","TRUE","Title","Default Title","SNK-BOY-GAR-100","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1621939514649-280e2ee25f60?w=800&q=80","active"
"Chippy Barbecue Flavor 110g","chippy-barbecue-110g","Crispy corn chips with sweet barbecue flavor. A Filipino favorite!","Jack n Jill","Snacks & Sweets","snacks, chips, barbecue, corn-chips, snacks-sweets","TRUE","Title","Default Title","SNK-CHIP-BBQ-110","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1613919113640-27f511db8eed?w=800&q=80","active"
"Piattos Cheese Flavor 85g","piattos-cheese-85g","Hexagon-shaped potato crisps with rich cheese flavor.","Jack n Jill","Snacks & Sweets","snacks, chips, cheese, potato-chips, snacks-sweets","TRUE","Title","Default Title","SNK-PIA-CHE-85","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1600490924317-8297f3bdb06e?w=800&q=80","active"
"C2 Green Tea Apple 500ml","c2-green-tea-apple","Refreshing green tea with apple flavor.","Universal Robina","Beverages","drinks, green-tea, refreshing, beverage, beverages","TRUE","Title","Default Title","BEV-C2-APP-500","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=800&q=80","active"
"Milo Chocolate Malt Powder 400g","milo-powder-400g","Nutritious chocolate malt drink powder. Energy for champions!","Nestle","Beverages","drinks, chocolate, malt, energy-drink, beverages","TRUE","Title","Default Title","BEV-MIL-400","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1542990253-0d0f5be5f0ed?w=800&q=80","active"
"Polvoron Classic 250g","polvoron-classic-250g","Classic Filipino milk candy cookie. Melt-in-your-mouth delicious!","Goldilocks","Snacks & Sweets","sweets, polvoron, traditional, dessert, snacks-sweets","TRUE","Title","Default Title","SWT-POL-250","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=800&q=80","active"
"Pastillas de Leche 150g","pastillas-de-leche-150g","Soft milk candy wrapped in colorful paper. A Filipino classic!","Local Brand","Snacks & Sweets","sweets, milk-candy, traditional, dessert, snacks-sweets","TRUE","Title","Default Title","SWT-PAS-150","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1582058091505-f87a2e55a40f?w=800&q=80","active"
"Skyflakes Crackers 250g","skyflakes-crackers-250g","Classic Filipino crackers. Perfect with spreads or on their own.","MY San","Snacks & Sweets","crackers, plain, snack, bestseller, snacks-sweets","TRUE","Title","Default Title","SNK-SKY-250","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1486108505409-68f1f98d2f1b?w=800&q=80","active"
"Fita Crackers 300g","fita-crackers-300g","Buttery Filipino crackers. Great with coffee or tea!","MY San","Snacks & Sweets","crackers, buttery, snack, filipino-favorite, snacks-sweets","TRUE","Title","Default Title","SNK-FIT-300","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1558961363-fa8fdf82db35?w=800&q=80","active"
"Nagaraya Cracker Nuts Original 160g","nagaraya-original-160g","Crunchy coated peanuts. Addictively delicious snack!","Nagaraya","Snacks & Sweets","nuts, peanuts, cracker-nuts, crunchy, snacks-sweets","TRUE","Title","Default Title","SNK-NAG-ORI-160","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1619440442954-c0eab7c53f3f?w=800&q=80","active"
"Barrio Fiesta Bagoong Alamang 250g","bagoong-alamang-regular","Authentic Filipino shrimp paste. Essential for kare-kare!","Barrio Fiesta","Sauces & Condiments","bagoong, shrimp-paste, filipino, condiment, sauces-condiments","TRUE","Title","Default Title","SAU-BAG-250","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=800&q=80","active"
"Mama Sitas Kare-Kare Mix 57g","kare-kare-mix-mama-sita","Authentic peanut sauce mix for Filipino kare-kare.","Mama Sita","Cooking Ingredients","kare-kare, sauce-mix, peanut, filipino-dish, cooking-ingredients","TRUE","Title","Default Title","ING-KAR-57","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=800&q=80","active"
"Knorr Sinigang sa Sampalok Mix 44g","sinigang-mix-knorr","Tamarind soup base for authentic Filipino sinigang.","Knorr","Cooking Ingredients","sinigang, tamarind, soup-base, filipino-dish, cooking-ingredients","TRUE","Title","Default Title","ING-SIN-44","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1547592166-23ac45744acd?w=800&q=80","active"
"Datu Puti Vinegar 385ml","vinegar-datu-puti-385ml","Premium Filipino cane vinegar. Perfect for adobo and dipping sauces.","Nutri-Asia","Sauces & Condiments","vinegar, condiment, cooking, filipino, sauces-condiments","TRUE","Title","Default Title","SAU-VIN-385","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=800&q=80","active"
"UFC Sweet Chili Sauce 340g","sweet-chili-sauce-ufc","Filipino-style sweet and spicy chili sauce.","UFC","Sauces & Condiments","chili-sauce, sweet-spicy, condiment, dipping-sauce, sauces-condiments","TRUE","Title","Default Title","SAU-CHI-340","shopify","100","deny","TRUE","https://images.unsplash.com/photo-1472476443507-c7a5948772fc?w=800&q=80","active"
